"gender","age","membership_start","income","ave_spend","max_spend","tenure","recency","frequency","monetary_value","r_score","f_score","m_score","fm_string","fm_score","rfm_string","rfm_score","person_id"
"M",71,"2018-07-07",52000,2.91,5.58,20,696,4,11.65,"9","3","1","31",4,"931",13,"2232ca2abd9548e6b33b2a45909f2600"
"F",79,"2017-01-22",102000,30.32,50.14,550,684,9,272.89,"8","7","10","710",17,"8710",25,"2234fe1f1b6549f69b40bab5152238f7"
"M",19,"2016-01-28",74000,16.58,25.36,910,684,7,116.04,"8","6","7","67",13,"867",21,"2236b2acf3404128bbcd87f526b4e23a"
"M",42,"2014-11-01",59000,15.09,22.53,1363,576,10,150.91,"3","8","8","88",16,"388",19,"223d38b1853347c1a90823d2b775dc68"
"F",55,"2015-08-07",74000,19.96,26.11,1085,678,6,119.78,"7","5","7","57",12,"757",19,"223d9000d7bd4e72af8ac193c1760be1"
"M",81,"2017-01-25",60000,10.51,15.01,547,654,6,63.06,"6","5","5","55",10,"655",16,"224d8d1b5af746b4b145bd00e4eefd76"
"M",75,"2018-06-23",75000,0,0,34,0,0,0,"1","1","1","11",2,"111",3,"22617705eec442e0b7b43e5c5f56fb17"
"F",29,"2014-05-29",39000,2.28,6.59,1520,666,11,25.11,"7","8","3","83",11,"783",18,"226260d7327d484abff1d8668fe4be65"
"F",44,"2017-11-01",58000,16.39,20.48,267,558,3,49.18,"2","2","4","24",6,"224",8,"226a51a4d1204398949b0fd51cdf8a10"
"F",76,"2017-10-22",31000,8.82,17.36,278,636,12,105.84,"5","8","6","86",14,"586",19,"226fc5b19c124d79983942fb0985ee15"
"M",46,"2016-03-15",56000,15.04,23.28,863,684,13,195.47,"8","9","9","99",18,"899",26,"2277f0026d4546969e5a564354d3664c"
"M",69,"2017-08-01",92000,23.73,38.3,360,576,5,118.63,"3","4","7","47",11,"347",14,"227ce6b51df94aeaa83ce2701eb2963c"
"M",51,"2018-05-12",1e+05,26.01,31.3,76,642,6,156.08,"5","5","8","58",13,"558",18,"227f2d69e46a4899b70d48182822cff6"
"F",53,"2018-01-25",105000,26.1,40.53,182,702,16,417.67,"9","10","10","1010",20,"91010",29,"227f56602add4665a5c3633f08a08656"
"M",76,"2016-08-15",75000,21.74,35.91,711,690,11,239.17,"8","8","10","810",18,"8810",26,"227f7c7fcd3f445691431763078d39b1"
"F",69,"2015-12-16",50000,11.9,25.98,953,696,10,119.02,"9","8","7","87",15,"987",24,"2282d0c4726b4e9fad5ea8c69002ae9a"
"M",55,"2017-06-25",60000,34.71,352.42,397,708,16,555.36,"10","10","10","1010",20,"101010",30,"2290f2fb303e46579ecb6d79b0409d0c"
"M",69,"2016-04-27",108000,26.22,29.88,821,588,5,131.11,"3","4","7","47",11,"347",14,"229191ca2b9d4620bd61677fd7f328c4"
"F",31,"2016-04-03",60000,16.34,25.49,845,714,14,228.78,"10","9","9","99",18,"1099",28,"2297b19f7fdb4ca3bcb1cbf74209b77b"
"F",68,"2017-12-13",85000,21.72,29.2,225,678,12,260.69,"7","8","10","810",18,"7810",25,"2299335033194047a20685e608f230d8"
"M",62,"2014-09-07",42000,1.69,5.15,1419,648,14,23.71,"6","9","2","92",11,"692",17,"22a4183650a2469c9b969a69ad6cfb66"
"M",21,"2017-04-22",45000,49.57,454.62,461,648,21,1040.98,"6","10","10","1010",20,"61010",26,"22a945be84664ab59b5bff02429bf462"
"F",40,"2016-06-20",75000,23.59,43.29,767,684,5,117.93,"8","4","7","47",11,"847",19,"22b37ea6807e45688983ffb664b963a0"
"F",82,"2017-12-13",74000,3.56,4.52,225,666,3,10.68,"7","2","1","21",3,"721",10,"22b7db076ce44fd1926cdb1fd04013ff"
"F",85,"2017-12-09",77000,21.44,27.58,229,708,4,85.75,"10","3","5","35",8,"1035",18,"22bf244c38734ce38a6e8d99499bc504"
"F",64,"2018-01-18",112000,27.48,27.63,189,618,2,54.95,"4","1","4","14",5,"414",9,"22bf8639f8ec4434964afdd5a74209ab"
"F",55,"2016-06-18",78000,21.36,33.82,769,630,14,298.97,"5","9","10","910",19,"5910",24,"22c01c0918664a3788e4dbbac842936d"
"O",53,"2018-01-04",97000,0,0,203,0,0,0,"1","1","1","11",2,"111",3,"22cabc4ec10b4617ba903802c184ee95"
"F",65,"2017-07-05",35000,8.85,14.32,387,642,12,106.18,"5","8","6","86",14,"586",19,"22ce932a14c34f2fbd3d36d4f3a598d5"
"M",72,"2013-09-06",31000,3.43,6.69,1785,708,15,51.45,"10","9","4","94",13,"1094",23,"22d072830a384100928fbbc313e6184a"
"M",64,"2018-03-03",53000,4.78,4.78,145,552,1,4.78,"2","1","1","11",2,"211",4,"22d289f1beb24a989d9f3dbe8a6f4caf"
"M",67,"2018-01-19",50000,8.65,14.28,188,684,7,60.58,"8","6","4","64",10,"864",18,"22d87f4f3e2b42f49a9af68a350cf3ef"
"F",68,"2018-02-25",85000,18.42,29.68,151,660,7,128.95,"6","6","7","67",13,"667",19,"22dab61857c84270944fc34e8c72c764"
"M",75,"2017-08-22",87000,22.6,32.2,339,666,5,113,"7","4","6","46",10,"746",17,"22e2a6aa912b439082c7e0f7a2f3cf65"
"F",56,"2017-10-24",95000,23.01,24.92,276,660,4,92.05,"6","3","6","36",9,"636",15,"22e3c0dba818435e900668eb591d45e3"
"M",67,"2017-01-21",87000,21.83,28.97,551,654,5,109.17,"6","4","6","46",10,"646",16,"22f9700db0f341a7b522af25fa2627ec"
"F",43,"2014-04-16",96000,27.3,31.36,1563,648,2,54.6,"6","1","4","14",5,"614",11,"22fb7286392241b5a8c92be7a23a04a9"
"M",47,"2014-08-14",62000,17.93,23.8,1443,660,5,89.63,"6","4","6","46",10,"646",16,"2300b9fba71048488b040245ffa14709"
"M",45,"2017-10-25",48000,14.41,24,275,546,7,100.87,"2","6","6","66",12,"266",14,"230aae2a26df47adbbd1e02a6d3d0cc0"
"M",19,"2018-02-08",45000,2.21,3.94,168,462,6,13.27,"1","5","2","52",7,"152",8,"2317e6d093a94ffd88614160e828c3e3"
"M",26,"2014-09-24",68000,4.34,8.33,1402,708,12,52.13,"10","8","4","84",12,"1084",22,"231e1e33467647bbba31f6ba36d88541"
"M",20,"2015-12-03",45000,8.48,13.99,966,714,12,101.76,"10","8","6","86",14,"1086",24,"231f39abf1c14080916f5f81856f7d05"
"F",73,"2017-03-21",73000,17.07,29.34,492,666,10,170.68,"7","8","8","88",16,"788",23,"231f415c3b34446ca71fa8cf0b2b974f"
"M",73,"2018-07-02",47000,4.06,10.39,25,570,7,28.4,"3","6","3","63",9,"363",12,"232112641049495689718e27bfe5924d"
"F",63,"2016-06-10",103000,28.09,34.57,777,576,7,196.65,"3","6","9","69",15,"369",18,"23222e141aae4ba9b8efd19138d8f30f"
"M",67,"2017-10-31",97000,24.97,33.69,268,564,10,249.7,"2","8","10","810",18,"2810",20,"23264960b6724afeaf89b61af7b0662d"
"M",48,"2018-01-29",65000,4.16,7.55,178,612,4,16.64,"4","3","2","32",5,"432",9,"2326ed8eb9be4b4b8ddc8f98a816d8ba"
"O",41,"2016-06-07",63000,7.42,72.75,780,648,21,155.76,"6","10","8","108",18,"6108",24,"23277625ebb9416582f62f328a6a5a8b"
"M",74,"2016-05-10",101000,28.73,39.79,808,678,11,316.05,"7","8","10","810",18,"7810",25,"2329b14ec2ea4f979f82e66b057b16d6"
"F",64,"2017-01-26",36000,7.65,15.59,546,642,9,68.88,"5","7","5","75",12,"575",17,"232aded1c7bc40f8baf89f8ea81706a4"
"F",54,"2016-05-27",97000,29.53,54.95,791,630,8,236.22,"5","6","9","69",15,"569",20,"233135b25fbe42b6afc24081d9caf06a"
"M",49,"2018-05-27",99000,27.84,34.17,61,576,5,139.19,"3","4","7","47",11,"347",14,"2332714b1fb54741b3a7b27f259dc994"
"O",46,"2017-10-24",91000,23.43,24.88,276,630,3,70.29,"5","2","5","25",7,"525",12,"2334c3155e884d3c9529ee471f814a49"
"M",81,"2015-04-14",60000,18.16,25.17,1200,606,7,127.1,"4","6","7","67",13,"467",17,"23365b418a414700802724e13020d73b"
"M",62,"2015-05-24",74000,20.05,33.77,1160,684,10,200.46,"8","8","9","89",17,"889",25,"233c4cb4bd5b48e1bf461e4e7774d5c7"
"F",59,"2016-03-21",61000,15.26,28.23,857,708,10,152.58,"10","8","8","88",16,"1088",26,"233c98816834413bb63abbc821a047d9"
"M",61,"2018-02-06",32000,2.22,3.54,170,636,7,15.55,"5","6","2","62",8,"562",13,"234492f138c344fc8dd499718b16dd61"
"F",39,"2016-11-16",32000,7.36,15.43,617,654,13,95.7,"6","9","6","96",15,"696",21,"2349cf9c53bb49e09b23e4684cdcd86a"
"M",44,"2017-11-25",39000,2.46,4.92,243,648,10,24.59,"6","8","3","83",11,"683",17,"234f3b42e14245349935d57b937300dd"
"F",19,"2017-10-21",58000,15.12,25.2,279,486,5,75.61,"1","4","5","45",9,"145",10,"23546fb2449845b6b5a09bd9d33e900c"
"M",97,"2017-08-21",31000,1.31,2.38,340,552,7,9.14,"2","6","1","61",7,"261",9,"235a873ed1d14c9c9d2ecb28aa27b0cf"
"M",41,"2017-09-14",36000,2.61,6.43,316,708,7,18.26,"10","6","2","62",8,"1062",18,"235b49cfcbff4da581d9ec3a70f39a1d"
"M",31,"2016-05-14",35000,9.13,21.06,804,636,14,127.8,"5","9","7","97",16,"597",21,"2366b169d6de42f084c7a64c1b938f9d"
"F",52,"2017-08-17",84000,22.97,33.42,344,696,7,160.78,"9","6","8","68",14,"968",23,"23670c58129045a19d02cff135cd48ba"
"M",45,"2016-05-04",79000,23.1,37.34,814,714,5,115.48,"10","4","7","47",11,"1047",21,"23675894e69749f0bfaf7c1e26d0cb12"
"F",32,"2016-01-10",64000,16.39,20.35,928,600,14,229.42,"3","9","9","99",18,"399",21,"236a66dab68243f5bfde1277386b4e6c"
"M",60,"2017-09-09",41000,8.32,15.2,321,666,16,133.06,"7","10","7","107",17,"7107",24,"2372a5dd677842478b5318e4ea525969"
"F",80,"2017-12-04",52000,13.03,18.45,234,636,6,78.15,"5","5","5","55",10,"555",15,"23734b1dfcb94f9a8295153317a77c8c"
"M",58,"2017-10-15",41000,1.16,1.8,285,636,5,5.78,"5","4","1","41",5,"541",10,"237e788a772b49eeaf825faa1ad6838b"
"M",35,"2018-02-27",52000,4.23,6.29,149,714,7,29.58,"10","6","3","63",9,"1063",19,"2383a507a78d46d4ba188f89de1a3cdc"
"M",34,"2017-08-25",50000,4.26,16.2,336,534,5,21.3,"2","4","2","42",6,"242",8,"238c41e0560d4334bf9a6734351c660c"
"F",45,"2017-04-17",64000,18.61,32.48,466,666,14,260.5,"7","9","10","910",19,"7910",26,"2397aed85a7142a8b463bfb15642b0e1"
"M",53,"2018-01-23",56000,15.57,20.52,184,582,5,77.87,"3","4","5","45",9,"345",12,"2399b6b4f8bb4fecb3cfd9cb986922b7"
"F",62,"2018-05-29",69000,26.55,35.17,59,612,3,79.66,"4","2","5","25",7,"425",11,"239c9131068f4e2fa79e384726827bd9"
"F",40,"2015-11-22",72000,19.99,41.95,977,648,10,199.94,"6","8","9","89",17,"689",23,"239f99fbeec1414482a02223af0e9702"
"F",65,"2017-08-16",52000,2.94,7.87,345,678,10,29.36,"7","8","3","83",11,"783",18,"23a16856970749c186398bdfa5d8318c"
"F",60,"2017-12-15",84000,18.82,25.26,223,504,4,75.3,"2","3","5","35",8,"235",10,"23a5ad19280748efb6e49781c6042e1a"
"M",38,"2018-03-12",35000,3.23,5.6,136,654,9,29.08,"6","7","3","73",10,"673",16,"23a674ce0edb4458a1d8fdb1d8ed067c"
"F",44,"2018-05-17",30000,2.61,4.74,71,642,3,7.84,"5","2","1","21",3,"521",8,"23ac8f87960b45fb90e30a57850b2e4d"
"F",69,"2016-07-23",36000,10.61,26.35,734,648,14,148.58,"6","9","8","98",17,"698",23,"23b724c1f63849088971c3f94cc839af"
"F",64,"2015-10-12",95000,25.71,34.57,1019,678,7,179.98,"7","6","8","68",14,"768",21,"23bc15e276d247669fd7d1c08a8fb678"
"M",38,"2016-05-14",47000,9.97,18.24,804,672,13,129.56,"7","9","7","97",16,"797",23,"23be2bae33d54da884c7ff0230fc241f"
"M",54,"2017-08-29",74000,20.74,29.67,332,558,6,124.43,"2","5","7","57",12,"257",14,"23c4b658871a4d47802b3b148444560a"
"F",36,"2017-10-01",73000,5.72,12.07,299,696,6,34.33,"9","5","3","53",8,"953",17,"23c90b19c0754fedba9ce517ff067213"
"M",45,"2017-09-24",55000,14.11,20.89,306,702,9,126.97,"9","7","7","77",14,"977",23,"23ca13cb82874a869fa16b0b617ca877"
"M",64,"2017-08-31",57000,10.79,14.69,330,684,3,32.36,"8","2","3","23",5,"823",13,"23cac9b547fe47048c0fe8ac758dc7a7"
"F",32,"2018-04-04",54000,3.54,6.66,114,660,8,28.29,"6","6","3","63",9,"663",15,"23ce738b421d4731a8f8c09dea537aea"
"M",23,"2014-09-26",42000,3.53,10.89,1400,678,20,70.67,"7","10","5","105",15,"7105",22,"23d166014997487fa0a937ba68e140ea"
"M",59,"2017-01-02",78000,20.25,30.15,570,690,7,141.75,"8","6","7","67",13,"867",21,"23d57185ce92402b9c67300bd5775f77"
"M",38,"2014-06-02",48000,2.72,8.53,1516,678,22,59.91,"7","10","4","104",14,"7104",21,"23d67a23296a485781e69c109a10a1cf"
"F",67,"2017-01-09",86000,96.2,814.84,563,486,11,1058.24,"1","8","10","810",18,"1810",19,"23dfcdb8237347dca870bf78d7fa823c"
"F",58,"2017-10-23",95000,22.86,22.86,277,300,1,22.86,"1","1","2","12",3,"112",4,"23e86a023f81441db473f5dfb47a8d7e"
"F",47,"2018-07-15",57000,5.4,15.1,12,648,6,32.38,"6","5","3","53",8,"653",14,"23e92c97bc984b23b7dfc48e9c692566"
"M",60,"2016-07-18",56000,11.61,21.91,739,714,21,243.72,"10","10","10","1010",20,"101010",30,"23e9ff13012844d2b66bed7c0195469b"
"F",69,"2017-09-27",87000,26.6,34.11,303,666,2,53.21,"7","1","4","14",5,"714",12,"23f9e3baf42b43148fee9bbbc3530c7a"
"F",59,"2017-08-02",90000,27.81,40.69,359,708,6,166.85,"10","5","8","58",13,"1058",23,"23fe1476e9154136b5b55eed413743a6"
"F",51,"2018-06-28",1e+05,20.34,24.39,29,576,4,81.34,"3","3","5","35",8,"335",11,"24022eeb90164d86b193086aebe1f642"
"F",65,"2015-10-18",90000,27.62,35.98,1013,606,5,138.1,"4","4","7","47",11,"447",15,"240b9202dcfc477cab8dfde33f0df699"
"F",58,"2015-11-17",42000,24.64,297.89,982,696,18,443.54,"9","10","10","1010",20,"91010",29,"240eaede0a3c438ca9e85bfcc2fac550"
"M",52,"2018-01-23",74000,2.47,4.76,184,666,3,7.41,"7","2","1","21",3,"721",10,"240f9e161db24e10bbcc963e3a3f80f9"
"M",54,"2018-05-23",39000,9.9,15.77,65,696,18,178.14,"9","10","8","108",18,"9108",27,"24115a61df25473e84a8a03f3c98de1a"
"M",69,"2014-08-11",44000,3.04,7.41,1446,498,14,42.61,"1","9","4","94",13,"194",14,"2415d4b87264461d871e81513edc4fb0"
"M",33,"2017-11-04",38000,5.51,11.57,264,684,6,33.06,"8","5","3","53",8,"853",16,"2415e94667fb46cc815d1092ae5fa760"
"M",76,"2017-11-05",51000,3.31,6.67,263,564,5,16.54,"2","4","2","42",6,"242",8,"2419fe087def431fb74653819fe2a2b7"
"F",70,"2017-08-05",42000,1.8,1.8,356,624,1,1.8,"4","1","1","11",2,"411",6,"24206c31fa2f492080d941db22b1a195"
"M",29,"2017-05-02",38000,9.65,18.34,451,630,14,135.09,"5","9","7","97",16,"597",21,"2423ad34c87244f9a6dba4f1d139531f"
"M",57,"2017-10-28",80000,17.14,21.14,272,516,5,85.69,"2","4","5","45",9,"245",11,"2427b30ffe91466dbb0189aa74c64253"
"M",62,"2014-03-12",68000,14.69,20.96,1597,702,8,117.49,"9","6","7","67",13,"967",22,"242ae46c55a74e1797499e12308c3965"
"M",43,"2017-05-17",74000,18.42,31.13,436,630,12,221.09,"5","8","9","89",17,"589",22,"24306c53db4a41aca1c2e10cc4f935da"
"M",54,"2018-04-18",72000,6.58,12.07,100,714,12,78.95,"10","8","5","85",13,"1085",23,"2430f060c40a4ab9915b763d075b36ab"
"M",23,"2018-03-21",38000,3.23,6.67,127,666,10,32.29,"7","8","3","83",11,"783",18,"24319b0f9bdf43709d92140f202c7549"
"M",57,"2017-12-19",52000,7.22,80.69,219,708,23,166.05,"10","10","8","108",18,"10108",28,"2436d6f5405d4684adbe768aa7d12001"
"M",67,"2016-11-07",75000,19.91,23.44,626,570,8,159.3,"3","6","8","68",14,"368",17,"243a4e2c782d4a5484d62062e9960055"
"M",54,"2017-12-20",49000,11.41,22.21,218,684,9,102.71,"8","7","6","76",13,"876",21,"2443e88307574f2e84baa52e41142232"
"F",71,"2018-03-28",55000,10.11,12.18,121,258,2,20.22,"1","1","2","12",3,"112",4,"2445224464874d4386da659054a2847c"
"F",37,"2016-01-31",51000,15.68,23.02,907,594,9,141.14,"3","7","7","77",14,"377",17,"2449f2f011d24c849f72b15303f89f4b"
"M",73,"2014-02-18",93000,29.34,46.96,1619,714,4,117.38,"10","3","7","37",10,"1037",20,"244b3b12df524021b73a4ba9f2381001"
"M",47,"2017-02-06",39000,2.9,8.53,535,684,15,43.44,"8","9","4","94",13,"894",21,"244d3bc4a9bf4483a7c769b7f1079744"
"F",50,"2016-10-07",86000,23.03,34.03,658,630,9,207.24,"5","7","9","79",16,"579",21,"24501d31d7464c30ba2b44fc5126ddf5"
"F",64,"2017-10-27",55000,10.92,11.79,273,462,2,21.84,"1","1","2","12",3,"112",4,"2457e3daf5e74fbbbdfe90f2b2ee8212"
"F",54,"2017-11-07",103000,24.76,30.86,261,528,8,198.06,"2","6","9","69",15,"269",17,"2459a2c15aa6485786c095a1d5b39d18"
"F",44,"2017-12-28",49000,15.47,21.42,210,696,10,154.69,"9","8","8","88",16,"988",25,"245f68e8b7734ccb9e43e43063cf2c7c"
"F",66,"2016-11-26",74000,21.99,30.94,607,618,7,153.9,"4","6","8","68",14,"468",18,"246094ce7b5f4bfab1e3e91a9127ec3b"
"M",88,"2017-09-10",64000,19.18,34.46,320,678,9,172.66,"7","7","8","78",15,"778",22,"246126838bba45659893c568a5abbb9c"
"M",77,"2017-05-03",68000,16.82,25.29,450,552,6,100.93,"2","5","6","56",11,"256",13,"246541d803784db28d206473119c6233"
"F",64,"2017-06-11",84000,25.22,36.21,411,648,8,201.78,"6","6","9","69",15,"669",21,"2465878cae3d4d7eac6813ffafd01414"
"F",59,"2016-08-02",115000,25.49,35.96,724,624,6,152.95,"4","5","8","58",13,"458",17,"2472b0a245024b37bc45e6b902a4a801"
"M",40,"2018-04-27",57000,19.59,25.58,91,390,3,58.78,"1","2","4","24",6,"124",7,"24768f77cf174c6d9cd7a8c5b7f7a4c3"
"F",64,"2017-09-09",71000,17.36,19.07,321,618,3,52.09,"4","2","4","24",6,"424",10,"247b5e234272439594e9b4024d7a6eea"
"F",64,"2016-12-24",83000,20.95,30.09,579,684,4,83.79,"8","3","5","35",8,"835",16,"2481f1fcfbcb4b288e5a03af02d95373"
"M",54,"2017-05-22",99000,19.3,28.19,431,666,5,96.52,"7","4","6","46",10,"746",17,"248299cb7b7c4aa184e23eb2d5969b6d"
"F",42,"2017-09-19",66000,15.11,26.14,311,696,10,151.07,"9","8","8","88",16,"988",25,"248bbe21f980472db713800afcc46816"
"M",75,"2018-05-29",37000,3.87,6.79,59,378,3,11.62,"1","2","1","21",3,"121",4,"248dc37acf3f4197b0a92bda480e57a5"
"M",75,"2015-08-17",82000,21.59,30.21,1075,684,6,129.55,"8","5","7","57",12,"857",20,"24917beca55343b0803f7791b126d399"
"F",51,"2018-02-04",80000,0,0,172,0,0,0,"1","1","1","11",2,"111",3,"2491a9329c6549e499227359135bba92"
"F",95,"2016-06-06",66000,12.98,23.85,781,684,10,129.78,"8","8","7","87",15,"887",23,"249acca93b064e4a81a41c8340e2ef84"
"M",52,"2018-02-24",58000,2.79,4.74,152,672,2,5.57,"7","1","1","11",2,"711",9,"249f8b93457642ccb1e8a22f956887e1"
"M",45,"2014-04-24",33000,2.97,7.09,1555,498,14,41.58,"1","9","4","94",13,"194",14,"24a3df24be334727a9b6a704a1b536e6"
"F",60,"2017-02-11",52000,11.63,20.52,530,684,16,186.14,"8","10","9","109",19,"8109",27,"24ab1d9c55254e8eb9d263f3bf3d98fc"
"M",74,"2018-05-15",84000,22.66,27.52,73,654,5,113.31,"6","4","6","46",10,"646",16,"24ade653d9a4485c89f31a8316367930"
"M",51,"2018-04-30",75000,26.52,34.63,88,432,3,79.57,"1","2","5","25",7,"125",8,"24af8aec316e4416ac96ddefba45b873"
"M",27,"2017-09-07",53000,2.73,4.37,323,576,6,16.41,"3","5","2","52",7,"352",10,"24b13db9ecca4db1b18a86c2bbc64b03"
"F",77,"2013-10-14",57000,14.36,24.25,1747,636,6,86.18,"5","5","5","55",10,"555",15,"24b7186006df42968b948016dda0030a"
"M",55,"2016-07-04",64000,18.13,24.93,753,540,4,72.52,"2","3","5","35",8,"235",10,"24bc961aac694468975e6c3cb4d49755"
"F",49,"2016-03-08",72000,18.94,29.62,870,696,17,321.94,"9","10","10","1010",20,"91010",29,"24be0137591244c7b191b11c0da21218"
"F",40,"2016-07-31",58000,15.02,24.17,726,612,16,240.27,"4","10","10","1010",20,"41010",24,"24bfa125f2ba493f9b5f7abacc83f796"
"F",100,"2015-08-28",63000,15.54,31.95,1064,714,14,217.62,"10","9","9","99",18,"1099",28,"24c1287eb7a84cfd80472a82e05b1d57"
"M",45,"2017-09-01",41000,4.43,10.05,329,570,5,22.13,"3","4","2","42",6,"342",9,"24c6acb661704e08aa8f57c497edc663"
"O",20,"2018-02-05",33000,7.42,12.76,171,672,10,74.2,"7","8","5","85",13,"785",20,"24ca64fbcf5e433fba3554d60b0d0433"
"F",79,"2014-11-27",61000,16.09,32.17,1337,624,6,96.57,"4","5","6","56",11,"456",15,"24ca691f4052491ab91968123408266b"
"M",57,"2017-10-18",73000,25.45,31.4,282,624,4,101.79,"4","3","6","36",9,"436",13,"24cfb4077ad847f29a04b1299ebf40f6"
"M",47,"2017-07-31",38000,3.13,5.4,361,558,4,12.52,"2","3","1","31",4,"231",6,"24d448bb96b64b958edd6ba2f4f767c5"
"F",20,"2016-10-02",55000,12.84,25.78,663,714,15,192.65,"10","9","9","99",18,"1099",28,"24d7eab2cde84fc5a770373b672ef8fa"
"O",55,"2018-03-15",79000,18.62,29.01,133,654,5,93.09,"6","4","6","46",10,"646",16,"24e1795cb9894e078644210adf514d18"
"M",69,"2018-01-02",31000,4.73,11.35,205,648,3,14.19,"6","2","2","22",4,"622",10,"24e6f5617531403cb019e7995822c6fb"
"M",20,"2018-07-19",39000,2.95,9.3,8,594,5,14.74,"3","4","2","42",6,"342",9,"24e97f8491804e43ac0865ae93b54ca9"
"M",56,"2018-06-30",70000,16.71,20.65,27,600,4,66.85,"3","3","5","35",8,"335",11,"24eb364cc1914ee386aa13bd836a2ee2"
"M",39,"2016-08-31",51000,13.66,16.57,695,636,10,136.59,"5","8","7","87",15,"587",20,"24f0bf1e24774167853ce2e31623f25c"
"F",83,"2017-06-15",93000,23.24,35.2,407,666,12,278.88,"7","8","10","810",18,"7810",25,"24f1885ca61046c4b86b19858d3ae911"
"F",48,"2017-12-28",80000,18.77,22.64,210,714,4,75.07,"10","3","5","35",8,"1035",18,"24f56b5e1849462093931b164eb803b5"
"M",56,"2018-03-18",58000,2.27,5.59,130,480,3,6.81,"1","2","1","21",3,"121",4,"24ffb1b73fcc4f6bba82a9354eaf7744"
"M",74,"2017-08-01",34000,2.27,4.59,360,678,5,11.35,"7","4","1","41",5,"741",12,"250032cbd1b94b2b822f036f18fb407c"
"F",51,"2017-02-01",72000,19.57,19.57,540,450,1,19.57,"1","1","2","12",3,"112",4,"2500fe5284fe48bda992027d36355059"
"F",58,"2018-03-22",76000,15.4,15.4,126,702,1,15.4,"9","1","2","12",3,"912",12,"25015650d5fb4a8b96e6d289e76cc892"
"M",20,"2018-04-20",44000,4.14,7.51,98,612,6,24.86,"4","5","3","53",8,"453",12,"250cb99fa6aa4f428aef102c557c954d"
"F",54,"2017-09-16",66000,17.1,24.4,314,702,16,273.6,"9","10","10","1010",20,"91010",29,"251d8e61db61415fbb3eee0b89ef40e1"
"F",40,"2016-12-11",65000,17.87,25.45,592,684,18,321.71,"8","10","10","1010",20,"81010",28,"251dba96cd2949c4ba222e1b66838ea1"
"F",39,"2015-10-09",99000,24.44,37.12,1022,684,18,439.87,"8","10","10","1010",20,"81010",28,"2520c1ca400d43f4bf52ed6f482a6a75"
"M",51,"2015-08-16",64000,15.97,25.27,1076,678,4,63.9,"7","3","5","35",8,"735",15,"2524958e4c684e508ec5c42e5600ec20"
"F",41,"2016-03-25",35000,7.28,17.54,853,642,21,152.93,"5","10","8","108",18,"5108",23,"2526704eb7f24f4a8b1c2487912baa17"
"M",53,"2016-04-09",58000,15.07,20.32,839,612,7,105.47,"4","6","6","66",12,"466",16,"25289293a27140a6884abcf45087e8a2"
"F",56,"2016-04-16",42000,10.23,18.49,832,636,9,92.07,"5","7","6","76",13,"576",18,"252940e2b1a94d668fc1673aa83632c0"
"F",69,"2016-03-27",70000,18.14,27.9,851,684,10,181.43,"8","8","9","89",17,"889",25,"25298fbc021146faad360b5e0a5f92d1"
"M",69,"2018-06-14",68000,2.97,7.99,43,666,6,17.82,"7","5","2","52",7,"752",14,"2529c86c1fe24e559affca836422208f"
"F",46,"2017-09-18",80000,24.97,35.96,312,654,9,224.73,"6","7","9","79",16,"679",22,"252f458eaf1c4358b390f6bdcba12b58"
"M",43,"2017-12-16",49000,12.67,27.55,222,714,16,202.66,"10","10","9","109",19,"10109",29,"2531d3b6001a4d48bff0a91ceceb97a0"
"M",67,"2016-09-18",94000,25.73,41.96,677,588,7,180.08,"3","6","8","68",14,"368",17,"2535a0b4c6514f7f9bfee402516da719"
"F",46,"2018-02-20",76000,10.75,10.75,156,564,1,10.75,"2","1","1","11",2,"211",4,"2537d7d802c84a44875012770887c4e9"
"M",31,"2016-08-02",55000,3.5,11.55,724,714,14,48.93,"10","9","4","94",13,"1094",23,"2538662ed6de430bbfffbc230a12d740"
"F",59,"2017-03-09",77000,22.96,39.43,504,624,10,229.57,"4","8","9","89",17,"489",21,"253928e13e194249af6f2ff4003498cb"
"F",53,"2018-04-12",91000,27.2,29.19,106,714,3,81.61,"10","2","5","25",7,"1025",17,"25417089cb08467a94811abf01e1796f"
"F",58,"2016-02-11",99000,29.15,41.49,896,696,10,291.54,"9","8","10","810",18,"9810",27,"2546722a0e4c47c4a7133bd185b3c6c9"
"M",51,"2017-07-27",73000,4.85,7.82,365,630,5,24.23,"5","4","3","43",7,"543",12,"2548f467373b4f4cb328308a90974718"
"F",67,"2018-02-20",81000,18.92,18.92,156,582,1,18.92,"3","1","2","12",3,"312",6,"254900378b9e4560b301eac38f5166d7"
"M",48,"2017-03-23",43000,9.47,15.32,490,666,10,94.71,"7","8","6","86",14,"786",21,"254d56f6bfe74a61b256b17fbfd15fca"
"M",81,"2018-03-19",50000,10.53,15.15,129,600,7,73.68,"3","6","5","65",11,"365",14,"254e6c47c1a84907a3d21fb3593d569d"
"M",52,"2018-05-29",46000,1.74,4.14,59,702,6,10.45,"9","5","1","51",6,"951",15,"2551b0b1ec404ea89fbaae4c9cce7232"
"F",71,"2017-11-30",108000,28.14,36.65,238,630,4,112.58,"5","3","6","36",9,"536",14,"25540a042d7d4aabbc464105e6489efb"
"F",44,"2018-04-21",40000,10.55,19.56,97,648,7,73.84,"6","6","5","65",11,"665",17,"2555d3d05bdd4d65b3cd2fe3c9b24d12"
